handleId,fieldType,Name,Price,SKU,Image,Description,InStock
asics-gel-kayano-14-atmos-undermycar-pepper-1203A430-200,Product,ASICS Gel-Kayano 14 atmos Undermycar Pepper,150.00,1203A430-200,https://image.goat.com/attachments/product_template_pictures/images/095/297/757/original/1203A430_200.png.png,"Japan’s atmos teams up with South Korean brand Undermycar on the ASICS GEL Kayano 14 ‘Pepper Black,’ featuring a dark olive mesh upper with grey synthetic overlays and black side stripes. ASICS branding adorns the tongue and sockliner, while a decorative metal plate marked with Undermycar and atmos logos can be attached to the upper eyelet. The lifestyle runner sits atop a lightweight EVA midsole with visible GEL cushioning in the forefoot and heel.",in_stock
asics-gel-kayano-14-unaffected-infinite-wonders-pa-1201A922-300,Product,ASICS Gel-Kayano 14 Unaffected Infinite Wonders Pack Green,200.00,1201A922-300,https://image.goat.com/attachments/product_template_pictures/images/094/502/119/original/1201A922_300.png.png,"Dropping as part of the collaborative ‘Infinite Wonders Pack,’ the UNAFFECTED x ASICS GEL Kayano 14 ‘Posy Green’ celebrates the 30th anniversary of the vaunted GEL Kayano franchise. A revised toggle lacing system secures the upper, crafted from dark green mesh with glossy synthetic overlays in black and Bottle Green. In addition to co-branded sockliners, the lateral heel of each shoe displays mismatched ‘UNAFFECTED’ and ‘GEL Kayano 14’ branding. The lifestyle runner is mounted on a lightweight EVA midsole with GEL cushioning for improved comfort and impact protection.",in_stock
asics-gel-kayano-14-unaffected-infinite-wonders-pa-1201A922-020,Product,ASICS Gel-Kayano 14 Unaffected Infinite Wonders Pack Black Silver,200.00,1201A922-020,https://image.goat.com/attachments/product_template_pictures/images/094/896/075/original/1201A922_020.png.png,"The UNAFFECTED x ASICS GEL Kayano 14 ‘Dark Shadow’ is taken from the ‘Infinite Wonders Pack,’ a three-piece footwear collection designed in partnership with the South Korean brand. A toggle lacing system secures the upper, built with dark grey mesh and synthetic overlays in black and metallic silver. Dual branding appears on the insoles, while ‘UNAFFECTED’ and ‘GEL Kayano 14’ are stamped on the lateral heel of each shoe. The lifestyle runner rests on a lightweight EVA midsole with visible GEL cushioning in the forefoot and heel.",in_stock
asics-gel-kayano-14-unaffected-infinite-wonders-pa-1201A922-100,Product,ASICS Gel-Kayano 14 Unaffected Infinite Wonders Pack White,200.00,1201A922-100,https://image.goat.com/attachments/product_template_pictures/images/094/896/076/original/1201A922_100.png.png,"Launching as part of the collaborative ‘Infinite Wonders Pack,’ the UNAFFECTED x ASICS GEL Kayano 14 ‘Bright White’ updates the lifestyle runner with a modified design inspired by the great outdoors. Toggle lacing secures the upper, crafted from white mesh with tonal synthetic overlays. Contrasting black accents land on the ASICS tongue patch and heel overlay, marked with mismatched GEL Kayano 14 and UNAFFECTED branding on the lateral side of each shoe. The sneaker rides on a lightweight EVA midsole with visible GEL cushioning in the forefoot and heel.",in_stock
asics-gel-lyte-iii-up-there-kookaburra-1201A970-100,Product,ASICS Gel-Lyte III Up There Kookaburra,150.00,1201A970-100,https://image.goat.com/attachments/product_template_pictures/images/094/328/321/original/1201A970_100.png.png,"The Up There x ASICS Gel Lyte 3 ‘Kookaburra’ takes inspiration from a laughing bird species native to Australia. The colors of the ‘scruffy larrikin’ are mirrored in the design of the upper, featuring an off-white mesh base with blue leather side stripes on the lateral side. Arrayed across a midfoot leather overlay, brown speckling becomes increasingly dense, transitioning to suede paneling in a solid dark brown finish. Inside the shoe, custom insoles display a kookaburra graphic, along with dual Up There and ASICS branding.",in_stock
asics-gt-2160-above-the-clouds-1203A361-100,Product,ASICS GT-2160 Above The Clouds,150.00,1203A361-100,https://image.goat.com/attachments/product_template_pictures/images/094/245/006/original/1253637_00.png.png,"The Above The Clouds x ASICS GT 2160 ‘Shamrock Green’ reunites the creative partners on a lifestyle running shoe that made its original debut in 2011. The mixed-material upper features translucent NEXKIN throughout the vamp and midfoot, along with white open-cell mesh around the collar and heel. Metallic silver side stripes are outlined in green trim, matching the eyelets, interior lining and reinforced toe. Custom insoles display ASICS and Above The Clouds branding. Lightweight cushioning arrives via a sculpted EVA midsole with visible GEL inserts in the heel.",in_stock
comme-des-garçons-shirt-x-ex89-'white'-FL-K101-W23-2,Product,Comme Des Garçons SHIRT x EX89 'White',420.00,FL-K101-W23-2,https://image.goat.com/attachments/product_template_pictures/images/094/153/620/original/CDG_EX89_WHT.png.png,"The Comme Des Garçons SHIRT x ASICS EX89 ‘White’ presents a collaborative take on a lifestyle model inspired by the GEL-EXTREME, a vintage hoops shoe from 1989. The low-top sports a white leather upper, contrasted by a crimson textile lining and navy side stripes outlined in red trim. Dual branding decorates the woven tongue tag and sockliner. The sneaker sits atop an updated rubber cupsole, featuring vintage off-white sidewalls and an interior foam wedge built with ASICS’ FF BLAST foam.",in_stock
comme-des-garçons-shirt-x-ex89-'navy'-FL-K101-W23-1,Product,Comme Des Garçons SHIRT x EX89 'Navy',420.00,FL-K101-W23-1,https://image.goat.com/attachments/product_template_pictures/images/094/153/619/original/CDG_EX89_BLU.png.png,"The Comme Des Garçons SHIRT x ASICS EX89 ‘Navy’ reunites the partner brands on a lifestyle silhouette inspired by the GEL-EXTREME basketball shoe from 1989. The upper is crafted from navy leather with contrasting white side stripes outlined in red trim. Additional scarlet accents land on the interior lining, molded eyelets, and external heel counter. Dual ASICS and CDG SHIRT branding appears on the woven tongue tag and sockliner. Underfoot, the multicolor rubber outsole features a traction pattern inspired by the view of a city from the sky.",in_stock
comme-des-garçons-shirt-x-ex89-'navy'-CDG-EX89-BLU,Product,Comme Des Garçons SHIRT x EX89 'Navy',420.00,CDG-EX89-BLU,https://image.goat.com/attachments/product_template_pictures/images/094/153/619/original/CDG_EX89_BLU.png.png,"The Comme Des Garçons SHIRT x ASICS EX89 ‘Navy’ reunites the partner brands on a lifestyle silhouette inspired by the GEL-EXTREME basketball shoe from 1989. The upper is crafted from navy leather with contrasting white side stripes outlined in red trim. Additional scarlet accents land on the interior lining, molded eyelets, and external heel counter. Dual ASICS and CDG SHIRT branding appears on the woven tongue tag and sockliner. Underfoot, the multicolor rubber outsole features a traction pattern inspired by the view of a city from the sky.",in_stock
comme-des-garçons-shirt-x-ex89-'white'-CDG-EX89-WHT,Product,Comme Des Garçons SHIRT x EX89 'White',420.00,CDG-EX89-WHT,https://image.goat.com/attachments/product_template_pictures/images/094/153/620/original/CDG_EX89_WHT.png.png,"The Comme Des Garçons SHIRT x ASICS EX89 ‘White’ presents a collaborative take on a lifestyle model inspired by the GEL-EXTREME, a vintage hoops shoe from 1989. The low-top sports a white leather upper, contrasted by a crimson textile lining and navy side stripes outlined in red trim. Dual branding decorates the woven tongue tag and sockliner. The sneaker sits atop an updated rubber cupsole, featuring vintage off-white sidewalls and an interior foam wedge built with ASICS’ FF BLAST foam.",in_stock
asics-gel-nyc-bodega-after-hours-1201A952-020,Product,ASICS Gel-NYC Bodega After-Hours,180.00,1201A952-020,https://image.goat.com/attachments/product_template_pictures/images/093/746/299/original/1286042_00.png.png,"The Bodega x ASICS GEL NYC ‘After-Hours’ showcases a subdued palette inspired by city living after the sun goes down. The lifestyle running shoe features a chain link-inspired mesh upper, fortified with nubuck and suede overlays in Plum Truffle and Mole. Translucent tiger stripes adorn the lateral quarter panel, while Bodega branding in Blazing Coral appears on the lateral heel. Contrasting pops of color arrive via a diamond knit collar lining in Patrician Purple and a suede back tab in Caliste Green. The sneaker sits atop a lightweight EVA midsole with glittery GEL pods in the forefoot and heel.",in_stock
asics-gel-1130-cream-kale-1201A974-100,Product,ASICS Gel-1130 Cream Kale,95.00,1201A974-100,https://image.goat.com/attachments/product_template_pictures/images/093/519/253/original/1275220_00.png.png,"The ASICS GEL 1130 ‘Cream Kale’ dresses the lifestyle runner in an airy off-white mesh upper with synthetic overlays in a metallic silver finish. Lush green accents land on the signature side stripes and padded textile lining, along with ASICS branding hits on the tongue and sockliner. Lightweight cushioning is provided by a crisp white EVA midsole, fitted with ASICS’ TRUSSTIC system for midfoot stability and a GEL insert in the heel for impact protection.",in_stock
