handleId,fieldType,Name,Price,SKU,Image,Description,Brand,Colorway,InStock
asics-gel-kayano-14-atmos-undermycar-black,Product,ASICS Gel-Kayano 14 atmos Undermycar Black,150.00,1203A430-001,https://image.goat.com/attachments/product_template_pictures/images/095/297/756/original/1203A430_001.png.png,,ASICS,Black/Pure Silver,in_stock
asics-gel-kayano-14-atmos-undermycar-pepper,Product,ASICS Gel-Kayano 14 atmos Undermycar Pepper,150.00,1203A430-200,https://image.goat.com/attachments/product_template_pictures/images/095/297/757/original/1203A430_200.png.png,"Japan’s atmos teams up with South Korean brand Undermycar on the ASICS GEL Kayano 14 ‘Pepper Black,’ featuring a dark olive mesh upper with grey synthetic overlays and black side stripes. ASICS branding adorns the tongue and sockliner, while a decorative metal plate marked with Undermycar and atmos logos can be attached to the upper eyelet. The lifestyle runner sits atop a lightweight EVA midsole with visible GEL cushioning in the forefoot and heel.",ASICS,Pepper/Black,in_stock
asics-gel-lyte-iii-og-cream-bisque,Product,ASICS Gel-Lyte III OG Cream Bisque,110.00,1201A685-100,https://image.goat.com/attachments/product_template_pictures/images/090/955/575/original/1097948_00.png.png,,ASICS,Cream/Bisque,in_stock
asics-gel-lyte-iii-'07-remastered-kith-by-invitati,Product,ASICS Gel-Lyte III '07 Remastered Kith By Invitation Only,195.00,1201A923-800,https://image.goat.com/attachments/product_template_pictures/images/095/522/394/original/1323313_00.png.png,,ASICS,Blush/Violet-Purple,in_stock
jolt-4-'storm-blue-black',Product,Jolt 4 'Storm Blue Black',65.00,1011B603-405,https://image.goat.com/attachments/product_template_pictures/images/095/544/560/original/1011B603_405.png.png,,ASICS,Storm Blue/Black,in_stock
asics-gt-2160-costs-shao-ji,Product,ASICS GT-2160 COSTS Shao Ji,140.00,1201A938-250,https://image.goat.com/attachments/product_template_pictures/images/095/477/806/original/1201A938_250.png.png,,ASICS,Oatmeal/Indigo Blue,in_stock
wmns-gt-2000-12-'white-light-garnet',Product,Wmns GT 2000 12 'White Light Garnet',140.00,1012B506-100,https://image.goat.com/attachments/product_template_pictures/images/095/544/564/original/1012B506_100.png.png,,ASICS,White/Light Garnet,in_stock
asics-gel-kayano-14-unaffected-infinite-wonders-pa,Product,ASICS Gel-Kayano 14 Unaffected Infinite Wonders Pack Green,200.00,1201A922-300,https://image.goat.com/attachments/product_template_pictures/images/094/502/119/original/1201A922_300.png.png,"Dropping as part of the collaborative ‘Infinite Wonders Pack,’ the UNAFFECTED x ASICS GEL Kayano 14 ‘Posy Green’ celebrates the 30th anniversary of the vaunted GEL Kayano franchise. A revised toggle lacing system secures the upper, crafted from dark green mesh with glossy synthetic overlays in black and Bottle Green. In addition to co-branded sockliners, the lateral heel of each shoe displays mismatched ‘UNAFFECTED’ and ‘GEL Kayano 14’ branding. The lifestyle runner is mounted on a lightweight EVA midsole with GEL cushioning for improved comfort and impact protection.",ASICS,Posy Green/Bottle Green,in_stock
asics-gel-kayano-14-unaffected-infinite-wonde-1,Product,ASICS Gel-Kayano 14 Unaffected Infinite Wonders Pack Black Silver,200.00,1201A922-020,https://image.goat.com/attachments/product_template_pictures/images/094/896/075/original/1201A922_020.png.png,"The UNAFFECTED x ASICS GEL Kayano 14 ‘Dark Shadow’ is taken from the ‘Infinite Wonders Pack,’ a three-piece footwear collection designed in partnership with the South Korean brand. A toggle lacing system secures the upper, built with dark grey mesh and synthetic overlays in black and metallic silver. Dual branding appears on the insoles, while ‘UNAFFECTED’ and ‘GEL Kayano 14’ are stamped on the lateral heel of each shoe. The lifestyle runner rests on a lightweight EVA midsole with visible GEL cushioning in the forefoot and heel.",ASICS,Dark Shadow/Pure Silver,in_stock
asics-gel-kayano-14-unaffected-infinite-wonde-2,Product,ASICS Gel-Kayano 14 Unaffected Infinite Wonders Pack White,200.00,1201A922-100,https://image.goat.com/attachments/product_template_pictures/images/094/896/076/original/1201A922_100.png.png,"Launching as part of the collaborative ‘Infinite Wonders Pack,’ the UNAFFECTED x ASICS GEL Kayano 14 ‘Bright White’ updates the lifestyle runner with a modified design inspired by the great outdoors. Toggle lacing secures the upper, crafted from white mesh with tonal synthetic overlays. Contrasting black accents land on the ASICS tongue patch and heel overlay, marked with mismatched GEL Kayano 14 and UNAFFECTED branding on the lateral side of each shoe. The sneaker rides on a lightweight EVA midsole with visible GEL cushioning in the forefoot and heel.",ASICS,Bright White/Jet Black,in_stock
asics-gt-2160-cecilie-bahnsen-habanero,Product,ASICS GT-2160 Cecilie Bahnsen Habanero,230.00,1203A525-100,https://image.goat.com/attachments/product_template_pictures/images/094/831/086/original/1203A525_100.png.png,,ASICS,White/Habanero,in_stock
asics-gt-2160-cecilie-bahnsen-midnight,Product,ASICS GT-2160 Cecilie Bahnsen Midnight,230.00,1203A322-020,https://image.goat.com/attachments/product_template_pictures/images/094/831/085/original/1203A322_020.png.png,,ASICS,Pure Silver/Midnight,in_stock
gel-nyc-'glacier-grey',Product,Gel NYC 'Glacier Grey',130.00,1203A417-020,https://image.goat.com/attachments/product_template_pictures/images/095/383/798/original/1203A417_020.png.png,,ASICS,Glacier Grey/Mid Grey,in_stock
asics-gt-2160-gallery-dept.-complexcon,Product,ASICS GT-2160 Gallery Dept. ComplexCon,250.00,1201A987-100,https://image.goat.com/attachments/product_template_pictures/images/095/383/159/original/1201A987_100.png,,ASICS,White/Pure Silver,in_stock
gel-quantum-90-3-gs-'white-breeze',Product,Gel Quantum 90 3 GS 'White Breeze',75.00,1204A003-107,https://image.goat.com/attachments/product_template_pictures/images/095/149/808/original/1204A003_107.png.png,,ASICS,White/Breeze,in_stock
